	I	pval_norm	var_norm	pval_z_sim	pval_sim	var_sim	pval_norm_fdr_bh	pval_z_sim_fdr_bh	pval_sim_fdr_bh
GSTP1	0.05610402067726068	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.5449849872221297e-07	0.0	0.0	0.010445117787640833
DUSP5	0.05541005490614133	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.2611592563089132e-07	0.0	0.0	0.010445117787640833
MMP7	0.05521586174974812	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.152342339008503e-07	0.0	0.0	0.010445117787640833
PIGR	0.05486276148930696	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.926840539710783e-07	0.0	0.0	0.010445117787640833
C1QC	0.05380711972227243	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.8663173501631244e-07	0.0	0.0	0.010445117787640833
GPX1	0.05346633353851862	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.371322401905327e-07	0.0	0.0	0.010445117787640833
CD68	0.05286249541255492	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.9894665170909357e-07	0.0	0.0	0.010445117787640833
PSAP	0.052356134060930454	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.438180173784812e-07	0.0	0.0	0.010445117787640833
BCL2L1	0.051968836090878316	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.5046286718225476e-07	0.0	0.0	0.010445117787640833
JAG1	0.05190377262374724	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.592495370727079e-07	0.0	0.0	0.010445117787640833
KRT18	0.05188218773494576	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.696710054841e-07	0.0	0.0	0.010445117787640833
KRT19	0.05084953599592035	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.2437725647726392e-07	0.0	0.0	0.010445117787640833
CD24	0.050508977190753694	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.8849605770101648e-07	0.0	0.0	0.010445117787640833
COL9A3	0.049019278909381236	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.1354432151507652e-07	0.0	0.0	0.010445117787640833
SQSTM1	0.04897424687468091	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.471904838032975e-07	0.0	0.0	0.010445117787640833
ANXA2	0.04837705675759099	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.2591958565897795e-07	0.0	0.0	0.010445117787640833
COL18A1	0.04805619713941377	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.1535025462154023e-07	0.0	0.0	0.010445117787640833
IGHG2	0.048019873110330916	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.4881357474288822e-07	0.0	0.0	0.010445117787640833
TNFRSF12A	0.04728861294023484	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.181670529880662e-07	0.0	0.0	0.010445117787640833
C1QA	0.04672848986850849	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.191798178725457e-07	0.0	0.0	0.010445117787640833
PTGDR2	0.04590002009533811	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.0553837017206483e-07	0.0	0.0	0.010445117787640833
SOX9	0.04551087609114786	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.6917167171182023e-07	0.0	0.0	0.010445117787640833
JUNB	0.04358888022389146	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	3.321375154338015e-07	0.0	0.0	0.010445117787640833
NPPC	0.04307470001725429	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.9023730084663478e-07	0.0	0.0	0.010445117787640833
GADD45B	0.04270620255106476	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.0969386620814518e-07	0.0	0.0	0.010445117787640833
GPX3	0.042264627188694476	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.0510087838006534e-07	0.0	0.0	0.010445117787640833
HLA-E	0.041578254594118236	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.921060090290683e-07	0.0	0.0	0.010445117787640833
RPL22	0.041509098447252875	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.0476393455260442e-07	0.0	0.0	0.010445117787640833
APP	0.04141777807923908	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.666559812834658e-07	0.0	0.0	0.010445117787640833
HLA-DPB1	0.041344706691038326	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.1687610558182807e-07	0.0	0.0	0.010445117787640833
CCND1	0.04085499628050875	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.3136673939947327e-07	0.0	0.0	0.010445117787640833
HSD17B2	0.040294779541782004	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.956916165388907e-07	0.0	0.0	0.010445117787640833
RPS4Y1	0.040078281517592955	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.8741847375949285e-07	0.0	0.0	0.010445117787640833
C1QB	0.039994420527702024	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.7369947338292117e-07	0.0	0.0	0.010445117787640833
GAS6	0.03970238648091165	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.1191898657358692e-07	0.0	0.0	0.010445117787640833
IGHA1	0.039614958443399045	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.1658112867149093e-07	0.0	0.0	0.010445117787640833
CALM2	0.03935798288917504	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.7524400309994464e-07	0.0	0.0	0.010445117787640833
CRP	0.039354779549474576	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.6358092153387827e-07	0.0	0.0	0.010445117787640833
IL7R	0.0390115760562642	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.3969930518813526e-07	0.0	0.0	0.010445117787640833
MIF	0.03867211796359584	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.395085870844568e-07	0.0	0.0	0.010445117787640833
DCN	0.0380870074982761	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.2522814783364e-07	0.0	0.0	0.010445117787640833
ITGB2	0.03634530973876374	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.135452873760179e-07	0.0	0.0	0.010445117787640833
S100A10	0.035583090153811135	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.4908433933118636e-07	0.0	0.0	0.010445117787640833
LEFTY1	0.035544747932562515	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.7459127303192021e-07	0.0	0.0	0.010445117787640833
CALM1	0.03548205791610198	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.7566773046847646e-07	0.0	0.0	0.010445117787640833
FGFR1	0.03487830408158822	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.7991472422737653e-07	0.0	0.0	0.010445117787640833
DUSP1	0.03474985943023656	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.709713877974889e-07	0.0	0.0	0.010445117787640833
THBS1	0.034322778762376265	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.897547136272279e-07	0.0	0.0	0.010445117787640833
ZFP36	0.03428905978114049	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.5605685679597392e-07	0.0	0.0	0.010445117787640833
BTG1	0.03423450631035802	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.12625130910103e-07	0.0	0.0	0.010445117787640833
COL6A2	0.03420814468721071	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.228656596544185e-07	0.0	0.0	0.010445117787640833
CD163	0.03390759198963786	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.7348201371824832e-07	0.0	0.0	0.010445117787640833
